answer_by,ques,views,vote,weblink
mrry,What is a seed in TensorFlow? [duplicate],"Viewed 3,784 times",8,https://stackoverflow.com/questions/38604437/what-is-a-seed-in-tensorflow
MBT,LSTM in Pytorch,"Viewed 4,745 times",8,https://stackoverflow.com/questions/48831585/lstm-in-pytorch
benjaminplanche,Change Image format from NHWC to NCHW for Pytorch,"Viewed 11,502 times",8,https://stackoverflow.com/questions/51881481/change-image-format-from-nhwc-to-nchw-for-pytorch
hearse,Keras ValueError: Dimensions must be equal issue,"Viewed 32,226 times",8,https://stackoverflow.com/questions/56302243/keras-valueerror-dimensions-must-be-equal-issue
JoSauderGH,How to calculate Batch Pairwise Distance in PyTorch efficiently,"Viewed 3,944 times",8,https://stackoverflow.com/questions/55126072/how-to-calculate-batch-pairwise-distance-in-pytorch-efficiently
DSH,Hidden size vs input size in RNN,"Viewed 6,985 times",8,https://stackoverflow.com/questions/59182518/hidden-size-vs-input-size-in-rnn
Sharan,Inference with TensorRT .engine file on python,"Viewed 6,390 times",8,https://stackoverflow.com/questions/59280745/inference-with-tensorrt-engine-file-on-python
rhombidodecahedron,How to do machine learning when the inputs are of different sizes?,"Viewed 4,770 times",8,https://stackoverflow.com/questions/28819104/how-to-do-machine-learning-when-the-inputs-are-of-different-sizes
words_of_wisdom,One dimensional data with CNN,"Viewed 4,417 times",8,https://stackoverflow.com/questions/40355288/one-dimensional-data-with-cnn
Marcin Możejko,AttributeError:'Tensor' object has no attribute '_keras_history',"Viewed 5,845 times",8,https://stackoverflow.com/questions/45030966/attributeerrortensor-object-has-no-attribute-keras-history
Roni Gadot,Keras + Tensorflow strange results,Viewed 929 times,8,https://stackoverflow.com/questions/45193744/keras-tensorflow-strange-results
kmario23,How can you re-use a variable scope in tensorflow without a new scope being created by default?,Viewed 991 times,8,https://stackoverflow.com/questions/49285112/how-can-you-re-use-a-variable-scope-in-tensorflow-without-a-new-scope-being-crea
Joel Carneiro,Keras plot_model not showing the input layer appropriately,"Viewed 3,723 times",8,https://stackoverflow.com/questions/51717751/keras-plot-model-not-showing-the-input-layer-appropriately
Sam Lerman,What does DeepMind's Sonnet afford that Keras doesn't?,"Viewed 2,426 times",8,https://stackoverflow.com/questions/53144038/what-does-deepminds-sonnet-afford-that-keras-doesnt
classyflyer,How to free up space in disk on Colab TPU?,"Viewed 9,602 times",8,https://stackoverflow.com/questions/59086279/how-to-free-up-space-in-disk-on-colab-tpu
Shai,"scale the loss value according to ""badness"" in caffe","Viewed 3,942 times",8,https://stackoverflow.com/questions/34907657/scale-the-loss-value-according-to-badness-in-caffe
sgonzalez,What does *Restarting data prefetching from start* mean in caffe,"Viewed 6,571 times",8,https://stackoverflow.com/questions/43306352/what-does-restarting-data-prefetching-from-start-mean-in-caffe
A. Piro,Single Prediction when using Batch Normalization,"Viewed 5,622 times",8,https://stackoverflow.com/questions/44807038/single-prediction-when-using-batch-normalization
user3104352,What does compute_gradients return in tensorflow,"Viewed 4,662 times",8,https://stackoverflow.com/questions/44982081/what-does-compute-gradients-return-in-tensorflow
Noah Chalifour,reverse word embeddings in keras - python,"Viewed 3,279 times",8,https://stackoverflow.com/questions/45773660/reverse-word-embeddings-in-keras-python
Klaus,Feature selection on a keras model,"Viewed 12,168 times",7,https://stackoverflow.com/questions/50199217/feature-selection-on-a-keras-model
Fcoder,Number of feature maps produced after each convolution layer in CNN's,"Viewed 6,576 times",7,https://stackoverflow.com/questions/50368123/number-of-feature-maps-produced-after-each-convolution-layer-in-cnns
Fábio Perez,How to use different data augmentation for Subsets in PyTorch,"Viewed 5,232 times",7,https://stackoverflow.com/questions/51782021/how-to-use-different-data-augmentation-for-subsets-in-pytorch
stackoverflowuser2010,What is the difference between Deep Learning and traditional Artificial Neural Network machine learning? [closed],"Viewed 2,406 times",7,https://stackoverflow.com/questions/36578634/what-is-the-difference-between-deep-learning-and-traditional-artificial-neural-n
V1nc3nt,Use hidden states instead of outputs in LSTMs of keras,"Viewed 6,831 times",7,https://stackoverflow.com/questions/45642905/use-hidden-states-instead-of-outputs-in-lstms-of-keras
Randy Ruan,zip like function in Tensorflow? Tensorflow tensor operation,"Viewed 12,130 times",7,https://stackoverflow.com/questions/47386862/zip-like-function-in-tensorflow-tensorflow-tensor-operation
Vatsal Aggarwal,AttributeError: 'Model' object has no attribute 'name',"Viewed 12,579 times",7,https://stackoverflow.com/questions/51253644/attributeerror-model-object-has-no-attribute-name
Israel-abebe,AttributeError: 'tuple' object has no attribute 'log_softmax',"Viewed 12,337 times",7,https://stackoverflow.com/questions/53476305/attributeerror-tuple-object-has-no-attribute-log-softmax
doug,Understanding a multilayer perceptron network,"Viewed 5,231 times",7,https://stackoverflow.com/questions/2707848/understanding-a-multilayer-perceptron-network
Infinite Loops,ERROR:tensorflow:Couldn't understand architecture name '',"Viewed 3,899 times",7,https://stackoverflow.com/questions/46875546/errortensorflowcouldnt-understand-architecture-name
Mateen Ulhaq,Concatenate Two Tensors in Pytorch,"Viewed 49,157 times",7,https://stackoverflow.com/questions/53512281/concatenate-two-tensors-in-pytorch
Shai,Caffe training without testing,"Viewed 4,925 times",7,https://stackoverflow.com/questions/33905326/caffe-training-without-testing
Marco Cerliani,How to use Keras' multi layer perceptron for multi-class classification,"Viewed 11,950 times",7,https://stackoverflow.com/questions/36927025/how-to-use-keras-multi-layer-perceptron-for-multi-class-classification
WhiteHat,tensorboard can't find event files,"Viewed 23,152 times",7,https://stackoverflow.com/questions/42772509/tensorboard-cant-find-event-files
Marcin Możejko,Keras Multiply() layer in functional API,"Viewed 17,539 times",7,https://stackoverflow.com/questions/48309322/keras-multiply-layer-in-functional-api
Frames Catherine White,How does tensorflow.pad work?,"Viewed 7,944 times",7,https://stackoverflow.com/questions/43928642/how-does-tensorflow-pad-work
James Z,Tensorflow inception-V3 Re-Train multiple layers,"Viewed 1,247 times",8,https://stackoverflow.com/questions/40501534/tensorflow-inception-v3-re-train-multiple-layers
Shai,Terminal output redirection not working for Caffe,"Viewed 1,814 times",7,https://stackoverflow.com/questions/33837903/terminal-output-redirection-not-working-for-caffe
forever,Can I use autoencoder for clustering?,"Viewed 14,802 times",7,https://stackoverflow.com/questions/40779282/can-i-use-autoencoder-for-clustering
Marcin Możejko,Text classification using Keras: How to add custom features?,"Viewed 2,137 times",7,https://stackoverflow.com/questions/43040525/text-classification-using-keras-how-to-add-custom-features
aerin,Why do we flatten the data before we feed it into tensorflow?,"Viewed 3,977 times",7,https://stackoverflow.com/questions/44572141/why-do-we-flatten-the-data-before-we-feed-it-into-tensorflow
RobertJoseph,How to specify the axis when using the softmax activation in a Keras layer?,"Viewed 5,412 times",7,https://stackoverflow.com/questions/45947111/how-to-specify-the-axis-when-using-the-softmax-activation-in-a-keras-layer
Devin Haslam,Cross entropy loss suddenly increases to infinity,"Viewed 10,026 times",7,https://stackoverflow.com/questions/48600374/cross-entropy-loss-suddenly-increases-to-infinity
ksbg,Same (?) neural network architecture in Tensorflow and Keras produces different accuracy on the same data,Viewed 579 times,7,https://stackoverflow.com/questions/50231629/same-neural-network-architecture-in-tensorflow-and-keras-produces-different
AstroBen,What embedding-layer output_dim is really needed for a dictionary of just 10000 words?,"Viewed 2,275 times",7,https://stackoverflow.com/questions/51328516/what-embedding-layer-output-dim-is-really-needed-for-a-dictionary-of-just-10000
vftw,Mask R-CNN annotation tool,"Viewed 6,383 times",7,https://stackoverflow.com/questions/52900549/mask-r-cnn-annotation-tool
Salmon,Use SMOTE to oversample image data,"Viewed 8,277 times",7,https://stackoverflow.com/questions/53666759/use-smote-to-oversample-image-data
today,AttributeError: 'tuple' object has no attribute 'rank' when calling fit on a Keras model with custom generator,"Viewed 8,982 times",7,https://stackoverflow.com/questions/62744659/attributeerror-tuple-object-has-no-attribute-rank-when-calling-fit-on-a-ker
Moran Reznik,difference between Dataset and TensorDataset in pyTorch,"Viewed 1,197 times",7,https://stackoverflow.com/questions/67683406/difference-between-dataset-and-tensordataset-in-pytorch
Shai,Does Caffe need data to be shuffled?,"Viewed 2,168 times",7,https://stackoverflow.com/questions/37658069/does-caffe-need-data-to-be-shuffled
karl_TUM,Tensorflow: feed dict error: You must feed a value for placeholder tensor,"Viewed 11,768 times",7,https://stackoverflow.com/questions/38243194/tensorflow-feed-dict-error-you-must-feed-a-value-for-placeholder-tensor
Denzelmon,How exactly Convolution2D layer works in Keras?,"Viewed 9,921 times",7,https://stackoverflow.com/questions/41178412/how-exactly-convolution2d-layer-works-in-keras
Community,how to add label to image data set for classification?,"Viewed 18,287 times",7,https://stackoverflow.com/questions/41612057/how-to-add-label-to-image-data-set-for-classification
jodag,Loss with custom backward function in PyTorch - exploding loss in simple MSE example,"Viewed 4,157 times",7,https://stackoverflow.com/questions/65947284/loss-with-custom-backward-function-in-pytorch-exploding-loss-in-simple-mse-exa
Jerry07,How to implement maclaurin series in keras?,Viewed 424 times,7,https://stackoverflow.com/questions/60982666/how-to-implement-maclaurin-series-in-keras
Community,How to Create CaffeDB training data for siamese networks out of image directory,"Viewed 3,975 times",7,https://stackoverflow.com/questions/34903975/how-to-create-caffedb-training-data-for-siamese-networks-out-of-image-directory
Avijit Dasgupta,How to perform deconvolution in Keras/ Theano?,"Viewed 11,123 times",7,https://stackoverflow.com/questions/40769363/how-to-perform-deconvolution-in-keras-theano
Venkatachalam,Keras LSTM input dimensions with one hot text embedding,"Viewed 5,532 times",7,https://stackoverflow.com/questions/41255268/keras-lstm-input-dimensions-with-one-hot-text-embedding
nemo,loss function design to incorporate different weight for false positive and false negative,"Viewed 3,462 times",7,https://stackoverflow.com/questions/42191362/loss-function-design-to-incorporate-different-weight-for-false-positive-and-fals
A. Attia,TensorFlow - Text recognition in image [closed],"Viewed 13,441 times",7,https://stackoverflow.com/questions/42241038/tensorflow-text-recognition-in-image
Marcin Możejko,One to many LSTM in Keras,"Viewed 2,375 times",7,https://stackoverflow.com/questions/42443104/one-to-many-lstm-in-keras
Marcin Możejko,Does LSTM in Keras support dynamic sentence length or not?,"Viewed 3,097 times",7,https://stackoverflow.com/questions/43263018/does-lstm-in-keras-support-dynamic-sentence-length-or-not
Chaine,Cross validation in deep neural networks,"Viewed 13,713 times",7,https://stackoverflow.com/questions/44475682/cross-validation-in-deep-neural-networks
Marco Cerliani,hybrid of max pooling and average pooling,"Viewed 2,072 times",7,https://stackoverflow.com/questions/45563438/hybrid-of-max-pooling-and-average-pooling
deep_jandu,How to augment data in tensorflow tfrecords?,"Viewed 4,936 times",7,https://stackoverflow.com/questions/48346835/how-to-augment-data-in-tensorflow-tfrecords
b-fg,Multiple-input multiple-output CNN with custom loss function,"Viewed 1,718 times",7,https://stackoverflow.com/questions/53844318/multiple-input-multiple-output-cnn-with-custom-loss-function
Amir,Convert categorical data back to numbers using keras utils to_categorical,"Viewed 7,385 times",7,https://stackoverflow.com/questions/54143458/convert-categorical-data-back-to-numbers-using-keras-utils-to-categorical
Amp,"How are the output size of MaxPooling2D, Conv2D, UpSampling2D layers calculated?","Viewed 9,255 times",7,https://stackoverflow.com/questions/54423078/how-are-the-output-size-of-maxpooling2d-conv2d-upsampling2d-layers-calculated
Dave,Merge the Bounding boxes near by into one,"Viewed 11,147 times",7,https://stackoverflow.com/questions/55593506/merge-the-bounding-boxes-near-by-into-one
alliedtoasters,Faster way to do multiple embeddings in PyTorch?,"Viewed 2,913 times",7,https://stackoverflow.com/questions/56729139/faster-way-to-do-multiple-embeddings-in-pytorch
MBT,PyTorch - RuntimeError: transform: failed to synchronize: cudaErrorIllegalAddress,"Viewed 6,499 times",7,https://stackoverflow.com/questions/59054002/pytorch-runtimeerror-transform-failed-to-synchronize-cudaerrorillegaladdres
acs,Tensorflow custom filter layer definition like glcm or gabor,Viewed 588 times,7,https://stackoverflow.com/questions/64987253/tensorflow-custom-filter-layer-definition-like-glcm-or-gabor
sathvikb007,Is there any way to share a google colab pro account with somoene else without sharing Google credentials?,"Viewed 1,534 times",7,https://stackoverflow.com/questions/67364844/is-there-any-way-to-share-a-google-colab-pro-account-with-somoene-else-without-s
Zabir Al Nazi,How does one create a distributed data loader with PyTorch's TorchMeta for meta-learning?,Viewed 440 times,7,https://stackoverflow.com/questions/69730835/how-does-one-create-a-distributed-data-loader-with-pytorchs-torchmeta-for-meta
Guillaume Chevalier,Tensorflow seq2seq multidimensional regression,"Viewed 2,108 times",7,https://stackoverflow.com/questions/38549040/tensorflow-seq2seq-multidimensional-regression
stop-cran,Keras VGG extract features,"Viewed 2,645 times",7,https://stackoverflow.com/questions/38674189/keras-vgg-extract-features
Blaszard,Why is dropout preventing convergence in Convolutional Neural Network?,"Viewed 3,131 times",7,https://stackoverflow.com/questions/38680862/why-is-dropout-preventing-convergence-in-convolutional-neural-network
Christian,"the same model converged in keras but not tensorflow, how is that possible?",Viewed 509 times,7,https://stackoverflow.com/questions/44225529/the-same-model-converged-in-keras-but-not-tensorflow-how-is-that-possible
spider,Why use axis=-1 in Keras metrics function?,"Viewed 2,899 times",7,https://stackoverflow.com/questions/46298110/why-use-axis-1-in-keras-metrics-function
Denisa Stefan,deeplab Restoring from checkpoint failed when training on own dataset,"Viewed 1,509 times",7,https://stackoverflow.com/questions/52094498/deeplab-restoring-from-checkpoint-failed-when-training-on-own-dataset
user3776738,Tensorflow-Deeplearning - Correlation between input and output,Viewed 309 times,7,https://stackoverflow.com/questions/54502101/tensorflow-deeplearning-correlation-between-input-and-output
Jason Aller,How a robust background removal is implemented?,"Viewed 4,868 times",7,https://stackoverflow.com/questions/57943845/how-a-robust-background-removal-is-implemented
somethingstrang,Why do Transformers in Natural Language Processing need a stack of encoders?,Viewed 727 times,7,https://stackoverflow.com/questions/59384146/why-do-transformers-in-natural-language-processing-need-a-stack-of-encoders
Aaditya Ura,How to use multiple text features for NLP classifier?,Viewed 819 times,7,https://stackoverflow.com/questions/61969412/how-to-use-multiple-text-features-for-nlp-classifier
Nagabhushan S N,How to optimize cudaHostAlloc and cudaLaunchKernel times in pytorch training,Viewed 419 times,7,https://stackoverflow.com/questions/69127080/how-to-optimize-cudahostalloc-and-cudalaunchkernel-times-in-pytorch-training
Shai,How do I load a caffe model and convert to a numpy array?,"Viewed 8,141 times",6,https://stackoverflow.com/questions/45199643/how-do-i-load-a-caffe-model-and-convert-to-a-numpy-array
Marcin Możejko,Keras: difference between test_on_batch and predict_on_batch,"Viewed 7,159 times",6,https://stackoverflow.com/questions/48372575/keras-difference-between-test-on-batch-and-predict-on-batch
Shayan Shafiq,Keras try save and load model error You are trying to load a weight file containing 16 layers into a model with 0 layers,"Viewed 13,694 times",6,https://stackoverflow.com/questions/51544666/keras-try-save-and-load-model-error-you-are-trying-to-load-a-weight-file-contain
aksr,AttributeError: module 'tensorflow' has no attribute 'get_variable',"Viewed 17,739 times",6,https://stackoverflow.com/questions/59226533/attributeerror-module-tensorflow-has-no-attribute-get-variable
Savannah Madison,How to choose the number of units for the Dense layer in the Convoluted neural network for a Image classification problem?,"Viewed 7,636 times",6,https://stackoverflow.com/questions/62484768/how-to-choose-the-number-of-units-for-the-dense-layer-in-the-convoluted-neural-n
Marcin Możejko,Understanding influence of random start weights on neural network performance,"Viewed 1,110 times",6,https://stackoverflow.com/questions/38593287/understanding-influence-of-random-start-weights-on-neural-network-performance
Rabindra Nath Nandi,Incremental Word2Vec Model Training in gensim,"Viewed 4,398 times",6,https://stackoverflow.com/questions/42746007/incremental-word2vec-model-training-in-gensim
Robert Lugg,Using batch norm when restore the model?,"Viewed 3,060 times",6,https://stackoverflow.com/questions/46809290/using-batch-norm-when-restore-the-model
desertnaut,Is there a momentum option for Adam optimizer in Keras? [closed],"Viewed 13,591 times",6,https://stackoverflow.com/questions/47168616/is-there-a-momentum-option-for-adam-optimizer-in-keras
Ioannis Nasios,How to give variable size images as input in keras,"Viewed 12,841 times",6,https://stackoverflow.com/questions/47795697/how-to-give-variable-size-images-as-input-in-keras
Dodi lila,my Keras model does not predict negative values,"Viewed 7,993 times",6,https://stackoverflow.com/questions/48251943/my-keras-model-does-not-predict-negative-values
Peetah,"super(type, obj): obj must be an instance or subtype of type in Keras","Viewed 4,830 times",6,https://stackoverflow.com/questions/50231039/supertype-obj-obj-must-be-an-instance-or-subtype-of-type-in-keras
Supratim Haldar,Keras flow_from_directory() read only from selected sub-directories,"Viewed 3,098 times",6,https://stackoverflow.com/questions/55328355/keras-flow-from-directory-read-only-from-selected-sub-directories
Gulzar,Pytorch getting RuntimeError: Found dtype Double but expected Float,"Viewed 20,091 times",6,https://stackoverflow.com/questions/67456368/pytorch-getting-runtimeerror-found-dtype-double-but-expected-float
talonmies,"Error when checking model input: expected convolution2d_input_1 to have shape (None, 3, 32, 32) but got array with shape (50000, 32, 32, 3)","Viewed 16,205 times",6,https://stackoverflow.com/questions/41771965/error-when-checking-model-input-expected-convolution2d-input-1-to-have-shape-n
Shamane Siriwardhana,Do we need to use beam search in training process?,"Viewed 3,573 times",6,https://stackoverflow.com/questions/44228271/do-we-need-to-use-beam-search-in-training-process
Maxim,NLP - Embeddings selection of `start` and `end` of sentence tokens,"Viewed 4,268 times",6,https://stackoverflow.com/questions/47148247/nlp-embeddings-selection-of-start-and-end-of-sentence-tokens
Nimy Alex,"getting ValueError : ""Can only tuple-index with a MultiIndex ""","Viewed 30,043 times",6,https://stackoverflow.com/questions/47490393/getting-valueerror-can-only-tuple-index-with-a-multiindex
GeorgeOfTheRF,How to upload and save large data to Google Colaboratory from local drive?,"Viewed 13,637 times",6,https://stackoverflow.com/questions/48860586/how-to-upload-and-save-large-data-to-google-colaboratory-from-local-drive
Maxim,TensorFlow: TypeError: Using a `tf.Tensor` as a Python `bool` is not allowed,"Viewed 19,957 times",6,https://stackoverflow.com/questions/49177169/tensorflow-typeerror-using-a-tf-tensor-as-a-python-bool-is-not-allowed
yns,Variable size input for LSTM in Pytorch,"Viewed 11,725 times",6,https://stackoverflow.com/questions/49832739/variable-size-input-for-lstm-in-pytorch
E_net4 - Mr Downvoter,How do I determine the binary class predicted by a convolutional neural network on Keras?,"Viewed 5,987 times",6,https://stackoverflow.com/questions/52018645/how-do-i-determine-the-binary-class-predicted-by-a-convolutional-neural-network
Nitin Sethi,I trained a keras model on google colab. Now not able to load it locally on my system.,"Viewed 5,271 times",6,https://stackoverflow.com/questions/53051274/i-trained-a-keras-model-on-google-colab-now-not-able-to-load-it-locally-on-my-s
iacob,How to add a new class to an existing classifier in deep learning?,"Viewed 5,576 times",6,https://stackoverflow.com/questions/59236502/how-to-add-a-new-class-to-an-existing-classifier-in-deep-learning
CypherX,When to use @tf.function decorator and when not? I know tf.function builds graph. But how to know when to build graphs?,"Viewed 1,766 times",6,https://stackoverflow.com/questions/61608188/when-to-use-tf-function-decorator-and-when-not-i-know-tf-function-builds-graph
ashraful16,"Input 0 is incompatible with layer functional_3: expected shape=(None, 224, 224, 3), found shape=(None, 240, 240, 3)","Viewed 11,142 times",6,https://stackoverflow.com/questions/65388357/input-0-is-incompatible-with-layer-functional-3-expected-shape-none-224-224
stop-cran,VGG Face Descriptor in python with caffe,"Viewed 4,284 times",6,https://stackoverflow.com/questions/33828582/vgg-face-descriptor-in-python-with-caffe
Community,Deep learning Udacity course: Prob 2 assignment 1 (notMNIST),"Viewed 5,074 times",6,https://stackoverflow.com/questions/38189153/deep-learning-udacity-course-prob-2-assignment-1-notmnist
zhuzilin,How to calculate vector-wise dot product in Keras?,"Viewed 8,625 times",6,https://stackoverflow.com/questions/43853741/how-to-calculate-vector-wise-dot-product-in-keras
Seeker90,Spark deep learning Import error,"Viewed 1,207 times",6,https://stackoverflow.com/questions/49643603/spark-deep-learning-import-error
Nathan Hubens,Change the input size in Keras,"Viewed 3,021 times",6,https://stackoverflow.com/questions/50063237/change-the-input-size-in-keras
Aparajit Garg,What does keras normalize axis argument does?,"Viewed 9,760 times",6,https://stackoverflow.com/questions/52812815/what-does-keras-normalize-axis-argument-does
PythoLove,What is the equivalent of torch.nn.functional.grid_sample in Tensorflow / Numpy?,"Viewed 6,779 times",6,https://stackoverflow.com/questions/52888146/what-is-the-equivalent-of-torch-nn-functional-grid-sample-in-tensorflow-numpy
Aneesh Palsule,"Deep learnin on Google Colab: loading large image dataset is very long, how to accelerate the process?","Viewed 5,268 times",6,https://stackoverflow.com/questions/54250584/deep-learnin-on-google-colab-loading-large-image-dataset-is-very-long-how-to-a
dennlinger,Stacking up of LSTM outputs in pytorch,"Viewed 2,369 times",6,https://stackoverflow.com/questions/54749665/stacking-up-of-lstm-outputs-in-pytorch
Florian Drawitsch,Simple way to load specific sample using Pytorch dataloader,"Viewed 4,088 times",6,https://stackoverflow.com/questions/54773106/simple-way-to-load-specific-sample-using-pytorch-dataloader
mujjiga,How to use featurewise_center=True together with flow_from_directory in ImageDataGenerator?,"Viewed 4,690 times",6,https://stackoverflow.com/questions/55663880/how-to-use-featurewise-center-true-together-with-flow-from-directory-in-imagedat
joel,No batch_size while making inference with BERT model,"Viewed 1,525 times",6,https://stackoverflow.com/questions/56846266/no-batch-size-while-making-inference-with-bert-model
ch271828n,"Implementation of the latest ""Lookahead Optimizer"" paper in Keras? [closed]","Viewed 2,002 times",6,https://stackoverflow.com/questions/57195278/implementation-of-the-latest-lookahead-optimizer-paper-in-keras
Lawlesx,"ValueError: A `Concatenate` layer requires inputs with matching shapes except for the concat axis. Got inputs shapes: [(None, 523, 523, 32), etc","Viewed 17,619 times",6,https://stackoverflow.com/questions/57542946/valueerror-a-concatenate-layer-requires-inputs-with-matching-shapes-except-fo
halfer,"fastai error predicting with exported/reloaded model: ""Input type and weight type should be the same""","Viewed 1,566 times",6,https://stackoverflow.com/questions/57618507/fastai-error-predicting-with-exported-reloaded-model-input-type-and-weight-typ
ZF007,Could not find matching function to call loaded from the SavedModel,"Viewed 14,349 times",6,https://stackoverflow.com/questions/58575586/could-not-find-matching-function-to-call-loaded-from-the-savedmodel
basilisk,why is my Neural Network stuck at high loss value after the first epochs,"Viewed 12,587 times",6,https://stackoverflow.com/questions/59153248/why-is-my-neural-network-stuck-at-high-loss-value-after-the-first-epochs
mysticsasuke,What are the inputs to the transformer encoder and decoder in BERT?,"Viewed 3,519 times",6,https://stackoverflow.com/questions/60382793/what-are-the-inputs-to-the-transformer-encoder-and-decoder-in-bert
Ζι Βάγγο,Tensorboard for custom training loop in Tensorflow 2,"Viewed 4,364 times",6,https://stackoverflow.com/questions/60639731/tensorboard-for-custom-training-loop-in-tensorflow-2
game development germ,Back propagation from decoder input to encoder output in variational autoencoder,Viewed 621 times,6,https://stackoverflow.com/questions/63258707/back-propagation-from-decoder-input-to-encoder-output-in-variational-autoencoder
tdelaney,Error :_pickle.PicklingError: Can't pickle &lt;function &lt;lambda&gt; at 0x0000002F2175B048&gt;: attribute lookup &lt;lambda&gt; on __main__ failed,"Viewed 9,714 times",6,https://stackoverflow.com/questions/64347217/error-pickle-picklingerror-cant-pickle-function-lambda-at-0x0000002f2175b
ASRodrigo,"Tensorflow ""decode_png"" keeps printing ""Cleanup called...""",Viewed 628 times,6,https://stackoverflow.com/questions/71969321/tensorflow-decode-png-keeps-printing-cleanup-called
AlexR,How to make the weights of an RNN cell untrainable in Tensorflow?,"Viewed 1,196 times",6,https://stackoverflow.com/questions/44959435/how-to-make-the-weights-of-an-rnn-cell-untrainable-in-tensorflow
StereoMatching,How should I save the model of PyTorch if I want it loadable by OpenCV dnn module,"Viewed 4,452 times",6,https://stackoverflow.com/questions/45929573/how-should-i-save-the-model-of-pytorch-if-i-want-it-loadable-by-opencv-dnn-modul
nbro,What does BasicLSTMCell do?,"Viewed 6,293 times",6,https://stackoverflow.com/questions/46134806/what-does-basiclstmcell-do
Community,tensorflow neural network multi layer perceptron for regression example,"Viewed 6,388 times",6,https://stackoverflow.com/questions/46832151/tensorflow-neural-network-multi-layer-perceptron-for-regression-example
desertnaut,Get the loss that a given optimizer is minimizing in Tensorflow,"Viewed 2,728 times",6,https://stackoverflow.com/questions/48409977/get-the-loss-that-a-given-optimizer-is-minimizing-in-tensorflow
Jenia Golbstein,First training epoch is very slow,"Viewed 3,093 times",6,https://stackoverflow.com/questions/49005874/first-training-epoch-is-very-slow
KiraMichiru,Keras training with batches: Is the training loss computed before or after each optimization step?,"Viewed 1,475 times",6,https://stackoverflow.com/questions/49008862/keras-training-with-batches-is-the-training-loss-computed-before-or-after-each
phil510,Deep multi-task learning with missing labels,"Viewed 2,088 times",6,https://stackoverflow.com/questions/49215615/deep-multi-task-learning-with-missing-labels
nbro,What is actually num_unit in LSTM cell circuit?,"Viewed 2,465 times",6,https://stackoverflow.com/questions/49225326/what-is-actually-num-unit-in-lstm-cell-circuit
Michael Mior,Keras Top 5 predictions,"Viewed 4,555 times",6,https://stackoverflow.com/questions/49827838/keras-top-5-predictions
Andy Wei,Keras multi-class semantic segmentation label,"Viewed 3,685 times",6,https://stackoverflow.com/questions/51590843/keras-multi-class-semantic-segmentation-label
nirvair,load a pretrained model pytorch - dict object has no attribute eval,"Viewed 21,512 times",6,https://stackoverflow.com/questions/51811154/load-a-pretrained-model-pytorch-dict-object-has-no-attribute-eval
nababs,How to create a loss function parameter that is dependent on epoch number in Keras?,"Viewed 1,843 times",6,https://stackoverflow.com/questions/52712782/how-to-create-a-loss-function-parameter-that-is-dependent-on-epoch-number-in-ker
Han M,How to monitor validation loss in the training of estimators in TensorFlow?,"Viewed 2,906 times",6,https://stackoverflow.com/questions/53232969/how-to-monitor-validation-loss-in-the-training-of-estimators-in-tensorflow
user2305193,pixelLabelDatastore from loaded image in workspace,Viewed 668 times,6,https://stackoverflow.com/questions/53557915/pixellabeldatastore-from-loaded-image-in-workspace
