answer_by,ques,views,vote,weblink
niton,How to get height of entire document with JavaScript?,"Viewed 586,478 times",408,https://stackoverflow.com/questions/1145850/how-to-get-height-of-entire-document-with-javascript
robinCTS,"Select all elements with a ""data-xxx"" attribute without using jQuery","Viewed 412,651 times",388,https://stackoverflow.com/questions/7084557/select-all-elements-with-a-data-xxx-attribute-without-using-jquery
Web Developer,onClick to get the ID of the clicked button,"Viewed 1,620,929 times",388,https://stackoverflow.com/questions/4825295/onclick-to-get-the-id-of-the-clicked-button
sg7,"Using Rails 3.1, where do you put your ""page specific"" JavaScript code?","Viewed 81,140 times",389,https://stackoverflow.com/questions/6167805/using-rails-3-1-where-do-you-put-your-page-specific-javascript-code
Blackhole,How is AngularJS different from jQuery,"Viewed 209,533 times",389,https://stackoverflow.com/questions/13151725/how-is-angularjs-different-from-jquery
danronmoon,How can you sort an array without mutating the original array?,"Viewed 181,911 times",389,https://stackoverflow.com/questions/9592740/how-can-you-sort-an-array-without-mutating-the-original-array
vdshb,An index signature parameter type cannot be a union type. Consider using a mapped object type instead,"Viewed 128,107 times",389,https://stackoverflow.com/questions/54438012/an-index-signature-parameter-type-cannot-be-a-union-type-consider-using-a-mappe
Sebastian Simon,Calculate the date yesterday in JavaScript,"Viewed 331,456 times",389,https://stackoverflow.com/questions/5511323/calculate-the-date-yesterday-in-javascript
TylerH,Pure JavaScript: a function like jQuery's isNumeric() [duplicate],"Viewed 521,276 times",389,https://stackoverflow.com/questions/9716468/pure-javascript-a-function-like-jquerys-isnumeric
Nikita Fedyashev,How to simulate a click with JavaScript?,"Viewed 607,164 times",389,https://stackoverflow.com/questions/2705583/how-to-simulate-a-click-with-javascript
Yves M.,"Using ""Object.create"" instead of ""new""","Viewed 201,062 times",390,https://stackoverflow.com/questions/2709612/using-object-create-instead-of-new
Community,orderBy multiple fields in Angular,"Viewed 199,532 times",390,https://stackoverflow.com/questions/17037524/orderby-multiple-fields-in-angular
adam,"JavaScript open in a new window, not tab","Viewed 575,631 times",390,https://stackoverflow.com/questions/726761/javascript-open-in-a-new-window-not-tab
ChrisG,Why does calling react setState method not mutate the state immediately?,"Viewed 225,010 times",390,https://stackoverflow.com/questions/30782948/why-does-calling-react-setstate-method-not-mutate-the-state-immediately
gurghet,How to get current formatted date dd/mm/yyyy in Javascript and append it to an input [duplicate],"Viewed 1,537,105 times",390,https://stackoverflow.com/questions/12409299/how-to-get-current-formatted-date-dd-mm-yyyy-in-javascript-and-append-it-to-an-i
Michał Perłakowski,How do I disable right click on my web page?,"Viewed 906,312 times",390,https://stackoverflow.com/questions/737022/how-do-i-disable-right-click-on-my-web-page
vancy-pants,"What is causing this error - ""Fatal error: Unable to find local grunt""","Viewed 460,335 times",391,https://stackoverflow.com/questions/13925916/what-is-causing-this-error-fatal-error-unable-to-find-local-grunt
John,Javascript Equivalent to PHP Explode(),"Viewed 398,516 times",380,https://stackoverflow.com/questions/4514323/javascript-equivalent-to-php-explode
Tim Abell,Twitter Bootstrap Tabs: Go to Specific Tab on Page Reload or Hyperlink,"Viewed 315,494 times",380,https://stackoverflow.com/questions/7862233/twitter-bootstrap-tabs-go-to-specific-tab-on-page-reload-or-hyperlink
John,What is the difference between children and childNodes in JavaScript?,"Viewed 130,906 times",381,https://stackoverflow.com/questions/7935689/what-is-the-difference-between-children-and-childnodes-in-javascript
Josef Pfleger,Remove a JSON attribute [duplicate],"Viewed 451,977 times",381,https://stackoverflow.com/questions/1219630/remove-a-json-attribute
Sebastian Zartner,'console' is undefined error for Internet Explorer,"Viewed 256,144 times",381,https://stackoverflow.com/questions/3326650/console-is-undefined-error-for-internet-explorer
Yi Jiang,Clearing all cookies with JavaScript,"Viewed 592,849 times",381,https://stackoverflow.com/questions/179355/clearing-all-cookies-with-javascript
Zanon,Why does JSHint throw a warning if I am using const?,"Viewed 277,211 times",381,https://stackoverflow.com/questions/27441803/why-does-jshint-throw-a-warning-if-i-am-using-const
David Eldridge,npm WARN ... requires a peer of ... but none is installed. You must install peer dependencies yourself,"Viewed 578,599 times",382,https://stackoverflow.com/questions/46053414/npm-warn-requires-a-peer-of-but-none-is-installed-you-must-install-peer
Community,How can I use async/await at the top level?,"Viewed 244,465 times",382,https://stackoverflow.com/questions/46515764/how-can-i-use-async-await-at-the-top-level
Mark Amery,What is the difference between Hot Reloading and Live Reloading in React Native?,"Viewed 90,902 times",382,https://stackoverflow.com/questions/41428954/what-is-the-difference-between-hot-reloading-and-live-reloading-in-react-native
Kamil Kiełczewski,Handling errors in Promise.all,"Viewed 320,442 times",382,https://stackoverflow.com/questions/30362733/handling-errors-in-promise-all
Srdjan Pazin,SyntaxError: Unexpected token o in JSON at position 1,"Viewed 855,496 times",382,https://stackoverflow.com/questions/38380462/syntaxerror-unexpected-token-o-in-json-at-position-1
Moe,How to read an external local JSON file in JavaScript?,"Viewed 1,482,335 times",382,https://stackoverflow.com/questions/19706046/how-to-read-an-external-local-json-file-in-javascript
Community,"What does ""!--"" do in JavaScript?","Viewed 56,258 times",382,https://stackoverflow.com/questions/34323527/what-does-do-in-javascript
Felix Kling,CreateElement with id?,"Viewed 605,149 times",382,https://stackoverflow.com/questions/9422974/createelement-with-id
Guillermo Gutiérrez,How to set header and options in axios?,"Viewed 923,344 times",382,https://stackoverflow.com/questions/45578844/how-to-set-header-and-options-in-axios
"
        6 revs, 5 users 57%",What should every JavaScript programmer know? [closed],"Viewed 81,407 times",368,https://stackoverflow.com/questions/2628672/what-should-every-javascript-programmer-know
Ali,How to load up CSS files using Javascript?,"Viewed 605,324 times",369,https://stackoverflow.com/questions/574944/how-to-load-up-css-files-using-javascript
Lazar Ljubenović,"In Angular, how do you determine the active route?","Viewed 341,265 times",369,https://stackoverflow.com/questions/34323480/in-angular-how-do-you-determine-the-active-route
ErikE,Determine if string is in list in JavaScript,"Viewed 468,213 times",369,https://stackoverflow.com/questions/2430000/determine-if-string-is-in-list-in-javascript
Brian Tompsett - 汤莱恩,Pass mouse events through absolutely-positioned element,"Viewed 139,387 times",370,https://stackoverflow.com/questions/1009753/pass-mouse-events-through-absolutely-positioned-element
Drag0,"""continue"" in cursor.forEach()","Viewed 281,503 times",370,https://stackoverflow.com/questions/18452920/continue-in-cursor-foreach
Jeff Puckett,Passing environment-dependent variables in webpack,"Viewed 337,428 times",370,https://stackoverflow.com/questions/30030031/passing-environment-dependent-variables-in-webpack
Rahil Wazir,Redirect parent window from an iframe action,"Viewed 502,456 times",370,https://stackoverflow.com/questions/580669/redirect-parent-window-from-an-iframe-action
BartoszKP,Is using 'var' to declare variables optional? [duplicate],"Viewed 148,118 times",370,https://stackoverflow.com/questions/2485423/is-using-var-to-declare-variables-optional
Gottlieb Notschnabel,JavaScript sleep/wait before continuing [duplicate],"Viewed 1,349,621 times",371,https://stackoverflow.com/questions/16873323/javascript-sleep-wait-before-continuing
Igor Soloydenko,Can't perform a React state update on an unmounted component,"Viewed 590,646 times",371,https://stackoverflow.com/questions/53949393/cant-perform-a-react-state-update-on-an-unmounted-component
Michał Perłakowski,setImmediate vs. nextTick,"Viewed 118,874 times",371,https://stackoverflow.com/questions/15349733/setimmediate-vs-nexttick
mikemaccana,Detecting input change in jQuery?,"Viewed 593,442 times",371,https://stackoverflow.com/questions/6458840/detecting-input-change-in-jquery
php-dev,Avoid dropdown menu close on click inside,"Viewed 410,273 times",371,https://stackoverflow.com/questions/25089297/avoid-dropdown-menu-close-on-click-inside
edmamerto,How to scroll to an element?,"Viewed 621,218 times",372,https://stackoverflow.com/questions/43441856/how-to-scroll-to-an-element
YakovL,Get jQuery version from inspecting the jQuery object,"Viewed 183,721 times",373,https://stackoverflow.com/questions/6867040/get-jquery-version-from-inspecting-the-jquery-object
Ruslan López,How to make an HTML back link?,"Viewed 702,585 times",356,https://stackoverflow.com/questions/8814472/how-to-make-an-html-back-link
Blowsie,How to write an inline IF statement in JavaScript?,"Viewed 726,447 times",356,https://stackoverflow.com/questions/10270351/how-to-write-an-inline-if-statement-in-javascript
Kunal,List view getListItemXmlAttributes method fails with child publication items,"Viewed 18,946 times",357,https://stackoverflow.com/questions/11165200/list-view-getlistitemxmlattributes-method-fails-with-child-publication-items
Brian Tompsett - 汤莱恩,Pass parameters in setInterval function,"Viewed 278,219 times",357,https://stackoverflow.com/questions/457826/pass-parameters-in-setinterval-function
Sebastian Simon,When to use ES6 class based React components vs. functional ES6 React components?,"Viewed 106,009 times",358,https://stackoverflow.com/questions/36097965/when-to-use-es6-class-based-react-components-vs-functional-es6-react-components
Samuel,Node update a specific package,"Viewed 340,418 times",358,https://stackoverflow.com/questions/43127863/node-update-a-specific-package
Shog9,Why was the name 'let' chosen for block-scoped variable declarations in JavaScript?,"Viewed 129,209 times",358,https://stackoverflow.com/questions/37916940/why-was-the-name-let-chosen-for-block-scoped-variable-declarations-in-javascri
Ritesh M Nayak,How do I remove javascript validation from my eclipse project?,"Viewed 216,769 times",358,https://stackoverflow.com/questions/3131878/how-do-i-remove-javascript-validation-from-my-eclipse-project
Nakilon,How to wait until an element exists?,"Viewed 395,577 times",358,https://stackoverflow.com/questions/5525071/how-to-wait-until-an-element-exists
Peter Mortensen,Is it possible to stop JavaScript execution? [duplicate],"Viewed 632,152 times",358,https://stackoverflow.com/questions/9298839/is-it-possible-to-stop-javascript-execution
Shog9,How may I reference the script tag that loaded the currently-executing script?,"Viewed 182,315 times",358,https://stackoverflow.com/questions/403967/how-may-i-reference-the-script-tag-that-loaded-the-currently-executing-script
Sebastian Simon,Convert UTC Epoch to local date,"Viewed 540,100 times",358,https://stackoverflow.com/questions/4631928/convert-utc-epoch-to-local-date
Community,How to store arbitrary data for some HTML tags,"Viewed 234,090 times",359,https://stackoverflow.com/questions/432174/how-to-store-arbitrary-data-for-some-html-tags
Vishwanath,How to dynamically create CSS class in JavaScript and apply?,"Viewed 362,441 times",359,https://stackoverflow.com/questions/1720320/how-to-dynamically-create-css-class-in-javascript-and-apply
Kamil Kiełczewski,Using HTML5/JavaScript to generate and save a file,"Viewed 469,294 times",359,https://stackoverflow.com/questions/2897619/using-html5-javascript-to-generate-and-save-a-file
sideshowbarker,Trying to use fetch and pass in mode: no-cors,"Viewed 660,930 times",360,https://stackoverflow.com/questions/43262121/trying-to-use-fetch-and-pass-in-mode-no-cors
georgeawg,Where to put model data and behaviour? [tl; dr; Use Services],"Viewed 75,564 times",342,https://stackoverflow.com/questions/11112608/where-to-put-model-data-and-behaviour-tl-dr-use-services
Brian Tompsett - 汤莱恩,How to get the mouse position without events (without moving the mouse)?,"Viewed 268,880 times",342,https://stackoverflow.com/questions/2601097/how-to-get-the-mouse-position-without-events-without-moving-the-mouse
Pops,Changing an element's ID with jQuery,"Viewed 669,390 times",342,https://stackoverflow.com/questions/347798/changing-an-elements-id-with-jquery
Pang,How can I remove time from date with Moment.js?,"Viewed 322,533 times",342,https://stackoverflow.com/questions/15130735/how-can-i-remove-time-from-date-with-moment-js
user198729,How to get year/month/day from a date object?,"Viewed 733,703 times",342,https://stackoverflow.com/questions/2013255/how-to-get-year-month-day-from-a-date-object
Pang,How to set DOM element as first child?,"Viewed 288,210 times",342,https://stackoverflow.com/questions/2007357/how-to-set-dom-element-as-first-child
Sebastian Simon,How to get the selected radio button’s value?,"Viewed 956,043 times",342,https://stackoverflow.com/questions/9618504/how-to-get-the-selected-radio-button-s-value
EugZol,"In reactJS, how to copy text to clipboard?","Viewed 360,485 times",342,https://stackoverflow.com/questions/39501289/in-reactjs-how-to-copy-text-to-clipboard
Mark Amery,Preloading images with JavaScript,"Viewed 248,424 times",343,https://stackoverflow.com/questions/3646036/preloading-images-with-javascript
Kai - Kazuya Ito,Can you force Vue.js to reload/re-render?,"Viewed 541,749 times",343,https://stackoverflow.com/questions/32106155/can-you-force-vue-js-to-reload-re-render
Cœur,Overriding interface property type defined in Typescript d.ts file,"Viewed 282,760 times",343,https://stackoverflow.com/questions/41285211/overriding-interface-property-type-defined-in-typescript-d-ts-file
Daniel Llano,"""Uncaught TypeError: a.indexOf is not a function"" error when opening new foundation project","Viewed 391,960 times",343,https://stackoverflow.com/questions/38871753/uncaught-typeerror-a-indexof-is-not-a-function-error-when-opening-new-foundat
Alon Gubkin,What is the instanceof operator in JavaScript?,"Viewed 268,103 times",344,https://stackoverflow.com/questions/2449254/what-is-the-instanceof-operator-in-javascript
BoltClock,"jQuery first child of ""this""","Viewed 449,416 times",344,https://stackoverflow.com/questions/2275702/jquery-first-child-of-this
Sl4rtib4rtf4st,How to reset a form using jQuery with .reset() method,"Viewed 1,036,755 times",344,https://stackoverflow.com/questions/16452699/how-to-reset-a-form-using-jquery-with-reset-method
Robert,Passing an array as a function parameter in JavaScript,"Viewed 706,032 times",345,https://stackoverflow.com/questions/2856059/passing-an-array-as-a-function-parameter-in-javascript
ruffin,where is create-react-app webpack config and files?,"Viewed 273,787 times",330,https://stackoverflow.com/questions/48395804/where-is-create-react-app-webpack-config-and-files
Scorpion-Prince,"In jQuery, how do I select an element by its name attribute?","Viewed 562,052 times",330,https://stackoverflow.com/questions/986120/in-jquery-how-do-i-select-an-element-by-its-name-attribute
Rob W,How to get subarray from array?,"Viewed 405,000 times",331,https://stackoverflow.com/questions/7538519/how-to-get-subarray-from-array
Zanon,AngularJS: How can I pass variables between controllers?,"Viewed 332,561 times",331,https://stackoverflow.com/questions/12008908/angularjs-how-can-i-pass-variables-between-controllers
quotesBro,Ternary operation in CoffeeScript,"Viewed 106,409 times",331,https://stackoverflow.com/questions/10146080/ternary-operation-in-coffeescript
informatik01,JavaScript file upload size validation,"Viewed 663,501 times",331,https://stackoverflow.com/questions/3717793/javascript-file-upload-size-validation
Sebastian Zartner,How to quickly and conveniently disable all console.log statements in my code?,"Viewed 297,542 times",331,https://stackoverflow.com/questions/1215392/how-to-quickly-and-conveniently-disable-all-console-log-statements-in-my-code
Lajos Arpad,Select all contents of textbox when it receives focus (Vanilla JS or jQuery),"Viewed 333,475 times",331,https://stackoverflow.com/questions/480735/select-all-contents-of-textbox-when-it-receives-focus-vanilla-js-or-jquery
IAdapter,How to disable all div content,"Viewed 626,370 times",331,https://stackoverflow.com/questions/639815/how-to-disable-all-div-content
kukuch,Resizing an image in an HTML5 canvas,"Viewed 308,246 times",332,https://stackoverflow.com/questions/2303690/resizing-an-image-in-an-html5-canvas
ntalbs,Lodash remove duplicates from array,"Viewed 425,944 times",332,https://stackoverflow.com/questions/31740155/lodash-remove-duplicates-from-array
zb226,Why does a RegExp with global flag give wrong results?,"Viewed 55,883 times",333,https://stackoverflow.com/questions/1520800/why-does-a-regexp-with-global-flag-give-wrong-results
Peter Mortensen,Can I use ES6's arrow function syntax with generators? (arrow notation),"Viewed 102,992 times",334,https://stackoverflow.com/questions/27661306/can-i-use-es6s-arrow-function-syntax-with-generators-arrow-notation
Aditya Patnaik,Are variables declared with let or const hoisted?,"Viewed 79,669 times",334,https://stackoverflow.com/questions/31219420/are-variables-declared-with-let-or-const-hoisted
Elias Van Ootegem,I want to remove double quotes from a String,"Viewed 558,794 times",334,https://stackoverflow.com/questions/19156148/i-want-to-remove-double-quotes-from-a-string
Brian Tompsett - 汤莱恩,Unable to understand useCapture parameter in addEventListener,"Viewed 112,856 times",334,https://stackoverflow.com/questions/7398290/unable-to-understand-usecapture-parameter-in-addeventlistener
Sebastian Simon,How do I get the YouTube video ID from a URL?,"Viewed 339,137 times",317,https://stackoverflow.com/questions/3452546/how-do-i-get-the-youtube-video-id-from-a-url
"
        7 revs, 5 users 100%",Why doesn't JavaScript support multithreading?,"Viewed 185,554 times",318,https://stackoverflow.com/questions/39879/why-doesnt-javascript-support-multithreading
Cody Gray,In what situations would AJAX long/short polling be preferred over HTML5 WebSockets?,"Viewed 120,808 times",318,https://stackoverflow.com/questions/10028770/in-what-situations-would-ajax-long-short-polling-be-preferred-over-html5-websock
sam,How do I define global variables in CoffeeScript?,"Viewed 123,572 times",318,https://stackoverflow.com/questions/4214731/how-do-i-define-global-variables-in-coffeescript
sfletche,What happened to Lodash _.pluck?,"Viewed 143,148 times",318,https://stackoverflow.com/questions/35136306/what-happened-to-lodash-pluck
Madara's Ghost,How do I select an element with its name attribute in jQuery? [duplicate],"Viewed 491,326 times",318,https://stackoverflow.com/questions/9680037/how-do-i-select-an-element-with-its-name-attribute-in-jquery
IAbstract,How to have a default option in Angular.js select box,"Viewed 528,805 times",318,https://stackoverflow.com/questions/18194255/how-to-have-a-default-option-in-angular-js-select-box
Felix Kling,Getting JavaScript object key list,"Viewed 384,937 times",318,https://stackoverflow.com/questions/3068534/getting-javascript-object-key-list
ROMANIA_engineer,Find JavaScript function definition in Chrome,"Viewed 190,140 times",319,https://stackoverflow.com/questions/9828876/find-javascript-function-definition-in-chrome
Community,How to use JavaScript regex over multiple lines?,"Viewed 210,172 times",319,https://stackoverflow.com/questions/1979884/how-to-use-javascript-regex-over-multiple-lines
Ronan Boiteau,to call onChange event after pressing Enter key,"Viewed 467,321 times",319,https://stackoverflow.com/questions/31272207/to-call-onchange-event-after-pressing-enter-key
Arsen Khachaturyan,Setting query string using Fetch GET request,"Viewed 435,828 times",319,https://stackoverflow.com/questions/35038857/setting-query-string-using-fetch-get-request
Hristo,Converting file size in bytes to human-readable string,"Viewed 157,409 times",319,https://stackoverflow.com/questions/10420352/converting-file-size-in-bytes-to-human-readable-string
Pierce O'Neill,Call a Vue.js component method from outside the component,"Viewed 320,518 times",320,https://stackoverflow.com/questions/33682651/call-a-vue-js-component-method-from-outside-the-component
cantera,Access props inside quotes in React JSX,"Viewed 123,387 times",320,https://stackoverflow.com/questions/21668025/access-props-inside-quotes-in-react-jsx
Samuel Liew,"Difference between ""module.exports"" and ""exports"" in the CommonJs Module System","Viewed 145,153 times",320,https://stackoverflow.com/questions/16383795/difference-between-module-exports-and-exports-in-the-commonjs-module-system
Ivar,Better way to sum a property value in an array,"Viewed 397,038 times",311,https://stackoverflow.com/questions/23247859/better-way-to-sum-a-property-value-in-an-array
Kai - Kazuya Ito,"""SyntaxError: Unexpected token &lt; in JSON at position 0""","Viewed 1,384,835 times",312,https://stackoverflow.com/questions/37280274/syntaxerror-unexpected-token-in-json-at-position-0
matronator,"Difference between innerText, innerHTML and value?","Viewed 355,907 times",312,https://stackoverflow.com/questions/19030742/difference-between-innertext-innerhtml-and-value
Machavity,Is the order of elements in a JSON list preserved?,"Viewed 203,685 times",312,https://stackoverflow.com/questions/7214293/is-the-order-of-elements-in-a-json-list-preserved
Sebastian Simon,Why does parseInt yield NaN with Array#map?,"Viewed 42,243 times",312,https://stackoverflow.com/questions/262427/why-does-parseint-yield-nan-with-arraymap
Rishabh,How to set bootstrap navbar active class with Angular JS?,"Viewed 240,720 times",312,https://stackoverflow.com/questions/16199418/how-to-set-bootstrap-navbar-active-class-with-angular-js
David Laberge,typescript - cloning object,"Viewed 505,195 times",312,https://stackoverflow.com/questions/28150967/typescript-cloning-object
mplungjan,Is there a JavaScript function that can pad a string to get to a determined length?,"Viewed 282,871 times",312,https://stackoverflow.com/questions/2686855/is-there-a-javascript-function-that-can-pad-a-string-to-get-to-a-determined-leng
"
        11 revs, 6 users 36%",Hidden Features of JavaScript? [closed],"Viewed 154,628 times",312,https://stackoverflow.com/questions/61088/hidden-features-of-javascript
Community,Generic deep diff between two objects,"Viewed 281,115 times",313,https://stackoverflow.com/questions/8572826/generic-deep-diff-between-two-objects
Ripon Al Wasim,How to get the previous URL in JavaScript?,"Viewed 616,008 times",313,https://stackoverflow.com/questions/3528324/how-to-get-the-previous-url-in-javascript
Brian Tompsett - 汤莱恩,JavaScript click event listener on class,"Viewed 555,531 times",313,https://stackoverflow.com/questions/19655189/javascript-click-event-listener-on-class
David Sinclair,Proper use of const for defining functions,"Viewed 276,446 times",313,https://stackoverflow.com/questions/33040703/proper-use-of-const-for-defining-functions
Kamil Kiełczewski,How can I check whether a radio button is selected with JavaScript?,"Viewed 1,307,041 times",313,https://stackoverflow.com/questions/1423777/how-can-i-check-whether-a-radio-button-is-selected-with-javascript
Peter Mortensen,'setInterval' vs 'setTimeout' [duplicate],"Viewed 322,237 times",313,https://stackoverflow.com/questions/2696692/setinterval-vs-settimeout
Peter Mortensen,Can I escape HTML special chars in JavaScript?,"Viewed 343,554 times",313,https://stackoverflow.com/questions/6234773/can-i-escape-html-special-chars-in-javascript
